ID,Population
1,CEU
2,KHV
3,MXL
4,ITU
5,IBS
6,FIN
7,YRI
8,GBR
9,PEL
10,CHB
11,FIN
12,CHB
13,CHS
14,GWD
15,YRI
16,CHB
17,MSL
18,JPT
19,MSL
20,ACB
21,MXL
22,PJL
23,ACB
24,ACB
25,CEU
26,PEL
27,MSL
28,FIN
29,IBS
30,CHB
31,FIN
32,GWD
33,ITU
34,GBR
35,FIN
36,IBS
37,FIN
38,CLM
39,YRI
40,FIN
41,CEU
42,YRI
43,CHB
44,YRI
45,CEU
46,CHS
47,FIN
48,PEL
49,CEU
50,TSI
51,CEU
52,MXL
53,GBR
54,MXL
55,CHB
56,IBS
57,YRI
58,KHV
59,ASW
60,PJL
61,PJL
62,PUR
63,YRI
64,YRI
65,YRI
66,ITU
67,PJL
68,JPT
69,CHS
70,CEU
71,PJL
72,CHS
73,GBR
74,MXL
75,CHB
76,PJL
77,ITU
78,GIH
79,JPT
80,FIN
81,PJL
82,FIN
83,PJL
84,TSI
85,CHB
86,MSL
87,FIN
88,KHV
89,CEU
90,PEL
91,MSL
92,GWD
93,ASW
94,CLM
95,GIH
96,ITU
97,CEU
98,ITU
99,MXL
100,KHV
101,GIH
102,MXL
103,CEU
104,GIH
105,GIH
106,ASW
107,PJL
108,CHB
109,ACB
110,ACB
111,ITU
112,PJL
113,YRI
114,CEU
115,IBS
116,JPT
117,JPT
118,ACB
119,PUR
120,PEL
121,PEL
122,YRI
123,PJL
124,GBR
125,CHS
126,CEU
127,FIN
128,KHV
129,CEU
130,ITU
131,KHV
132,ACB
133,MSL
134,CHB
135,MSL
136,PJL
137,PJL
138,MSL
139,KHV
140,CHS
141,MSL
142,PJL
143,YRI
144,PEL
145,MSL
146,GWD
147,MXL
148,YRI
149,MSL
150,GWD
151,ASW
152,PEL
153,CHB
154,KHV
155,BEB
156,PJL
157,PJL
158,IBS
159,GBR
160,ACB
161,ACB
162,GIH
163,CHB
164,GIH
165,CHB
166,GWD
167,CLM
168,ASW
169,KHV
170,PJL
171,PEL
172,ASW
173,PUR
174,ITU
175,PJL
176,PJL
177,YRI
178,MSL
179,GBR
180,PJL
181,FIN
182,PJL
183,MXL
184,ACB
185,PJL
186,ACB
187,JPT
188,STU
189,BEB
190,CHB
191,JPT
192,PUR
193,CHB
194,CHB
195,STU
196,GBR
197,GBR
198,ITU
199,YRI
200,YRI
201,CHB
202,FIN
203,ITU
204,ACB
205,YRI
206,KHV
207,PJL
208,YRI
209,CHB
210,GIH
211,PJL
212,ACB
213,ITU
214,ACB
215,CHS
216,ITU
217,KHV
218,GIH
219,CHB
220,CEU
221,MSL
222,MXL
223,ASW
224,PEL
225,GIH
226,MXL
227,ITU
228,PUR
229,CLM
230,PJL
231,BEB
232,IBS
233,MXL
234,ACB
235,MXL
236,CEU
237,IBS
238,PEL
239,MSL
240,CLM
241,JPT
242,PUR
243,PEL
244,ACB
245,GIH
246,PUR
247,PUR
248,GIH
249,MSL
250,CEU
251,BEB
252,JPT
253,KHV
254,KHV
255,GWD
256,KHV
257,KHV
258,CEU
259,KHV
260,ITU
261,CHB
262,YRI
263,JPT
264,CEU
265,ACB
266,IBS
267,YRI
268,ITU
269,YRI
270,GIH
271,CEU
272,TSI
273,JPT
274,GBR
275,FIN
276,MXL
